budget,popularity,revenue,runtime,title,vote_average,vote_count,,,,,,,,,,
12000000,40.631671,39673162,154,Jackie Brown,7.3,1514,,,,,,,,,,
25000000,15.279021,48531470,154,Little White Lies,7.1,380,,,,,,,,,,
79000000,24.598479,173013509,154,Cold Mountain,6.7,533,,,,,,,,,,
42000000,23.736535,270248367,154,The Firm,6.6,501,,,,,,,,,,
17000000,3.321095,10000000,154,55 Days at Peking,6.3,36,,,,,,,,,,
195000000,28.529607,1123746996,154,Transformers: Dark of the Moon,6.1,3299,,,,,,,,,,
270000000,57.925623,391081192,154,Superman Returns,5.4,1400,,,,,,,,,,
92620000,32.351527,650422,153,Metropolis,8,657,,,,,,,,,,
31500000,49.973462,89460381,153,Apocalypse Now,8,2055,,,,,,,,,,
70000000,72.595961,319131050,153,Inglourious Basterds,7.9,6430,,,,,,,,,,
46000000,88.496873,122126687,153,Prisoners,7.9,3085,,,,,,,,,,
250000000,98.885637,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293,,,,,,,,,,
2000000,23.962109,9250000,153,Lolita,7.3,395,,,,,,,,,,
10000000,8.305998,37402877,153,Oliver!,7,103,,,,,,,,,,
185000000,187.322927,1004558444,152,The Dark Knight,8.2,12002,,,,,,,,,,
125000000,109.984351,976475550,152,Harry Potter and the Philosopher's Stone,7.5,7006,,,,,,,,,,
40000000,21.743321,124731534,152,Ray,7.2,467,,,,,,,,,,
6000000,23.431117,43656822,152,West Side Story,7,389,,,,,,,,,,
72000000,11.215702,37317558,152,The Majestic,6.6,188,,,,,,,,,,
4000000,8.988455,36000000,152,The Greatest Show on Earth,6.6,50,,,,,,,,,,
90000000,63.429157,289847354,151,The Departed,7.9,4339,,,,,,,,,,
200000000,145.847379,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246,,,,,,,,,,
245000,0.785744,22000000,151,The Big Parade,7,21,,,,,,,,,,
140000000,58.485967,553799566,151,Armageddon,6.4,2482,,,,,,,,,,
